Timestamp,Milliseconds,centimeters
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402061,0.0
2019-05-13 08:51:59,402102,0.0
2019-05-13 08:51:59,402201,0.0
2019-05-13 08:51:59,402301,0.0
2019-05-13 08:52:00,402401,0.0
2019-05-13 08:52:00,402501,0.0
2019-05-13 08:52:00,402602,0.0
2019-05-13 08:52:00,402701,0.0
2019-05-13 08:52:00,402801,0.0
2019-05-13 08:52:00,402901,0.0
2019-05-13 08:52:00,403002,0.0
2019-05-13 08:52:00,403101,0.0
2019-05-13 08:52:00,403201,0.0
2019-05-13 08:52:00,403302,0.0
2019-05-13 08:52:01,403401,0.0
2019-05-13 08:52:01,403501,0.0
2019-05-13 08:52:01,403602,0.0
2019-05-13 08:52:01,403701,0.0
2019-05-13 08:52:01,403801,0.0
2019-05-13 08:52:01,403901,0.0
2019-05-13 08:52:01,404001,0.0
2019-05-13 08:52:01,404102,0.0
2019-05-13 08:52:01,404201,0.0
2019-05-13 08:52:01,404301,0.0
2019-05-13 08:52:02,404402,0.0
2019-05-13 08:52:02,404501,0.0
2019-05-13 08:52:02,404601,0.0
2019-05-13 08:52:02,404701,0.0
2019-05-13 08:52:02,404801,0.0
2019-05-13 08:52:49,452063,0.0
2019-05-13 08:52:49,452063,0.0
2019-05-13 08:52:49,452063,0.0
2019-05-13 08:52:49,452063,0.0
2019-05-13 08:52:49,452063,0.0
2019-05-13 08:52:49,452063,0.0
2019-05-13 08:52:49,452063,0.0
2019-05-13 08:52:49,452063,0.0
2019-05-13 08:52:49,452063,0.0
2019-05-13 08:52:49,452063,0.0
2019-05-13 08:52:49,452063,0.0
2019-05-13 08:52:49,452063,0.0
2019-05-13 08:52:49,452063,0.0
2019-05-13 08:52:49,452063,0.0
2019-05-13 08:52:49,452063,0.0
2019-05-13 08:52:49,452063,0.0
2019-05-13 08:52:49,452063,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
2019-05-13 08:52:49,452064,0.0
